id,first_name,last_name,grade1,grade2,grade3,gender_bio
533,Chrisse,Renfield,1.5,3.1,2.7,M
534,Wald,Vasilchikov,1.1,1.0,1.4,M
535,Simonne,Strutley,4.2,1.6,4.7,F
536,Ardyth,Patshull,1.3,3.1,3.4,F
537,Reg,Bruin,1.6,2.4,1.2,M
538,Germaine,Hallaways,3.5,2.6,2.8,F
539,Kelly,Jago,1.6,4.9,3.4,M
540,Husein,Gumbrell,4.8,1.7,4.3,M
541,Sisely,Joiris,1.1,2.7,4.4,F
542,Courtnay,Hayball,1.8,4.4,1.1,M
543,Thorstein,Grzegorczyk,4.2,3.3,2.4,M
544,Olag,Toby,3.7,4.3,3.9,M
545,Christie,Putman,4.5,1.5,3.6,F
546,Lazare,Hemshall,1.2,1.2,2.3,M
547,Thorpe,Glasser,1.6,1.0,2.6,M
548,Terza,Woodcroft,4.6,2.9,1.9,F
549,Billi,Chelsom,3.7,1.2,3.0,F
550,Ashleigh,Tennison,1.2,2.1,2.8,F
551,Webster,Von Hindenburg,5.0,3.0,1.5,M
552,Lonee,Baty,2.7,1.8,4.1,F
553,Darcie,Crumbie,4.6,2.9,3.8,F
554,Oralla,Skellen,4.2,3.8,1.6,F
555,Anett,Hayley,1.2,1.6,2.7,F
556,Mauricio,Ilson,1.8,1.7,4.1,M
557,Anitra,Jedras,4.5,2.4,4.0,F
558,Gaby,Sherrett,4.1,2.0,4.7,M
559,Linn,Guise,2.6,4.4,3.5,F
560,Husein,Isac,2.0,3.1,1.4,M
561,Marty,Strase,2.5,3.9,2.1,M
562,Lindi,Chaikovski,4.8,1.8,2.2,F
563,Liva,Lindmark,3.1,2.5,3.9,F
564,Charlie,Jouen,2.3,3.2,3.7,M
565,Netta,Giacubo,4.0,1.1,1.9,F
566,Jed,Putten,4.6,1.7,2.2,M
567,Dru,McCoid,4.9,4.1,1.2,F
568,Honoria,Lumsdall,2.0,2.4,3.7,F
569,Daryle,Goodlife,3.2,2.8,1.2,M
570,Al,Akerman,3.7,1.3,2.7,M
571,Dannie,Van Saltsberg,3.7,2.7,2.4,M
572,Zuzana,Shropsheir,2.0,1.0,1.9,F
573,Mitzi,Wrefford,3.9,1.6,1.3,F
574,Drusie,Inglefield,1.7,3.4,1.0,F
575,Buck,Smythe,1.9,1.2,1.4,M
576,Lyon,Dencs,3.2,4.3,3.3,M
577,Clayborn,Fibbens,2.5,2.0,4.1,M
578,Tarrah,Gashion,3.5,1.2,2.0,F
579,Sarah,Huff,3.1,3.0,2.2,F
580,Mandie,Frenzel;,1.8,3.0,1.3,F
581,Cozmo,Danielski,3.8,2.0,2.9,M
582,Glyn,Beller,4.7,4.2,3.8,F
583,Bronson,Cyson,4.1,1.9,3.0,M
584,Addy,Bruhn,4.3,4.3,1.0,F
585,Mychal,Jerams,1.5,3.0,2.6,M
586,Arlina,Gasnell,3.9,4.9,4.4,F
587,Anabelle,Di Lucia,3.3,1.9,1.8,F
588,Yule,Gotling,1.2,1.3,3.8,M
589,Jeromy,Ibbison,4.1,4.4,1.6,M
590,Alano,Ashbey,4.6,2.8,2.1,M
591,Wendeline,Corsham,2.1,4.5,2.6,F
592,Wilma,Di Maria,1.2,1.0,2.0,F
593,Kilian,Olcot,2.1,1.3,3.7,M
594,Florri,Cotelard,1.8,1.6,5.0,F
595,Hector,Bernardini,2.5,3.3,3.5,M
596,Darcey,McCarron,2.0,2.3,4.7,F
597,Concordia,Izac,4.0,2.3,3.8,F
598,Kirk,Shovell,3.7,3.8,4.1,M
599,Charity,Giroldi,1.2,1.3,2.2,F
600,Alfons,Stockley,2.4,4.1,1.7,M
601,Toddie,Deetch,3.0,2.9,2.0,M
602,Kalle,Collip,3.2,4.2,4.5,M
603,Jenn,McQuaide,3.0,4.8,1.5,F
604,Putnem,Giorgioni,1.1,2.6,3.1,M
605,Prissie,Starrs,4.4,1.2,1.3,F
606,Dillie,Poad,3.8,1.2,3.5,M
607,Alberta,Ziehms,4.6,3.2,2.1,F
608,Bentley,Aronowitz,3.4,4.7,5.0,M
609,Gran,Ghidoni,1.1,4.1,4.4,M
610,Hodge,Kemson,2.5,2.0,3.5,M
611,Monty,Domini,4.9,4.2,1.7,M
612,Gale,McCroary,1.4,4.7,2.0,F
613,Louis,Dufton,2.7,3.3,1.5,M
614,Truman,Mussetti,1.2,1.9,4.5,M
615,Charlot,Jones,2.0,5.0,3.2,F
616,Kizzie,Dahmke,3.4,3.2,2.9,F
617,Nicol,Kuhndel,1.1,1.8,3.2,M
618,Kimbra,Bartolomeu,1.6,4.6,3.9,F
619,Frank,Daughtrey,3.8,2.1,1.8,M
620,Cindie,Bifield,3.1,4.3,2.5,F
621,Zandra,Elgie,3.7,3.4,4.6,F
622,Dan,Kaiser,1.1,1.9,2.9,M
623,Clarice,Layne,4.8,1.6,2.4,F
624,Romona,Brechin,3.2,1.3,4.7,F
625,Adelle,Preshous,4.3,4.9,3.5,F
626,Abbie,Siggery,4.6,2.5,1.3,M
627,Caryl,Pearl,1.9,4.5,4.0,M
628,Teodorico,McGaughey,1.1,4.5,3.1,M
629,Emmalynn,Ericssen,2.5,2.6,1.0,F
630,Linnie,Nottram,3.4,4.9,3.8,F
631,Electra,De Hooch,3.7,2.2,4.5,F
632,Kirstyn,Lightman,2.3,4.9,4.9,F
633,Artemus,Gower,3.4,4.4,2.3,M
634,Athena,Kleinsmuntz,4.6,4.6,1.3,F
635,Ivar,Crossley,4.0,1.8,3.2,M
636,Gussie,Postin,4.8,2.1,1.4,F
637,Dayle,Walburn,3.8,1.8,1.9,F
638,Bertrando,Brennand,1.9,4.8,4.5,M
639,Gregorius,Branchet,1.8,1.7,1.6,M
640,Berne,Rosell,4.0,2.3,2.6,M
641,Wallas,Ibel,1.6,3.3,3.2,M
642,Laurens,Stockman,4.8,1.1,2.8,M
643,Cathee,Von Helmholtz,3.0,1.2,2.0,F
644,Ludovika,McPhillimey,4.9,2.6,1.1,F
645,Mireille,Matyas,1.2,3.2,4.5,F
646,Marketa,Laver,1.7,4.6,3.7,F
647,Lucy,Jarley,2.5,2.9,3.8,F
648,Darcy,Ridd,1.3,3.2,1.8,F
649,Leila,Lampke,3.2,4.8,2.6,F
650,Caril,Richen,2.4,3.6,2.1,F
651,Fraze,Courtman,4.0,2.3,4.8,M
652,Erhart,Auty,3.9,4.8,3.7,M
653,Aristotle,Landers,3.7,1.4,4.0,M
654,Willa,Tayloe,3.7,4.7,3.6,F
655,Gonzales,Gudgen,1.2,1.6,1.5,M
656,Ellen,Jaulme,4.4,3.0,3.1,F
657,Dara,Buey,2.2,2.3,1.7,F
658,Guss,Coyle,3.4,4.1,3.7,M
659,Fiorenze,Fominov,2.0,3.0,4.2,F
660,Sabina,Josland,3.9,4.5,4.8,F
661,Deonne,Sive,2.0,3.1,5.0,F
662,Jodie,Goman,4.7,2.6,3.9,M
663,Tessi,Satterfitt,2.5,3.6,4.3,F
664,Saunder,Chattington,3.1,3.6,2.4,M
665,Ulberto,Childs,1.4,4.6,2.7,M
666,Ulla,Over,2.9,3.8,4.1,F
667,Briggs,Bramsen,2.4,3.1,3.6,M
668,Gustav,Bagnal,2.5,3.8,2.2,M
669,Bevin,Tasker,2.1,2.9,1.3,M
670,Towny,Miranda,2.3,1.7,5.0,M
671,Riannon,Paddie,2.6,2.7,1.5,F
672,Gregoire,Josifovitz,4.2,1.8,1.9,M
673,Michail,Colbert,1.7,2.0,3.8,M
674,Collette,Juckes,3.1,1.7,5.0,F
675,Lorianna,Schimek,1.1,3.7,3.2,F
676,Oona,Cochern,4.3,4.9,3.1,F
677,Madella,Rampton,1.2,1.4,1.5,F
678,Irwinn,Hebborne,4.6,2.3,1.3,M
679,Marcellus,Sey,1.5,2.4,2.9,M
680,Bryn,Camerello,4.8,2.2,1.8,F
681,Rhodia,Plaxton,2.5,1.3,3.6,F
682,Carolus,Southby,2.3,2.7,4.1,M
683,Marc,Sidnell,2.6,2.2,3.4,M
684,Hermon,Lockitt,4.4,2.1,4.2,M
685,Melesa,Kyneton,1.5,3.4,3.0,F
686,Garrik,Sidlow,1.8,2.0,1.2,M
687,Timothee,Styche,3.6,4.1,1.5,M
688,Ailey,Dronsfield,1.7,2.5,1.7,F
689,Leoline,Westmorland,1.6,4.1,4.9,F
690,Gussie,Dissman,4.2,1.7,1.2,F
691,Bat,Harber,1.1,4.3,3.6,M
692,Alethea,Maharry,3.8,3.6,4.8,F
693,Olympie,Teaz,3.3,1.2,2.2,F
694,Felizio,Henighan,1.1,1.2,2.8,M
695,Cyrill,Grancher,3.1,4.4,2.3,M
696,Dayna,Lauderdale,3.5,4.3,3.4,F
697,Northrup,Lisett,2.2,4.8,2.1,M
698,Tiphany,Palay,4.6,2.4,1.6,F
699,Rossy,Rushsorth,1.1,4.1,3.1,M
700,Jinny,Cockayne,3.8,3.9,1.7,F
701,Lucais,Constantine,4.6,4.6,4.2,M
702,Katrinka,Bernucci,3.4,2.1,4.0,F
703,Della,Scattergood,3.2,1.2,4.4,F
704,Ruy,Benam,3.6,1.1,3.2,M
705,Deb,Alcott,1.9,1.8,1.1,F
706,Hube,Chazotte,1.7,4.7,2.8,M
707,Adore,McSperron,1.6,1.7,4.1,F
708,Olga,Silverwood,3.8,1.5,3.7,F
709,Adela,Romaint,2.4,3.0,2.6,F
710,Gael,Bannon,3.3,4.7,1.1,M
711,Kipp,Sandhill,2.8,2.1,1.3,M
712,Haley,Ozelton,2.7,3.6,3.6,F
713,Sara,Spybey,1.6,3.8,3.5,F
714,Loree,Matyasik,1.2,1.3,4.2,F
715,Faber,Lacasa,1.4,2.1,2.5,M
716,Andriette,Gahan,4.0,3.6,3.3,F
717,Emanuel,Rouzet,3.3,2.8,2.9,M
718,Joela,Guinnane,3.5,4.8,2.7,F
719,Storm,Spaight,3.7,3.5,4.3,F
720,Cortie,Bottomley,4.3,1.1,2.4,M
721,Kaine,Jerdon,3.0,4.4,1.7,M
722,Ambros,Ivoshin,3.2,1.7,3.1,M
723,Estrellita,Rilings,2.1,3.3,1.0,F
724,Clayson,Gouldsmith,3.3,4.1,3.3,M
725,Lucina,Metterick,2.9,3.1,4.7,F
726,Lindsey,Malarkey,1.2,3.4,3.0,F
727,Eveline,Lober,2.6,3.8,4.1,F
728,Carolyn,Troutbeck,1.4,2.9,2.8,F
729,Leonanie,Kemet,4.6,3.0,4.2,F
730,Abdel,Sandaver,1.7,3.6,2.0,M
731,Staffard,Belfrage,3.5,3.3,3.8,M
732,Nerita,Fettis,1.6,1.4,4.0,F
733,Manolo,Jeske,1.6,1.6,1.9,M
734,Darcie,Backshaw,1.3,4.2,2.4,F
735,Erie,Ayres,2.4,3.3,4.8,M
736,Brett,Fulle,2.4,3.4,1.2,M
737,Nowell,Meyer,4.9,2.0,4.5,M
738,Claude,Akett,3.1,4.0,3.7,F
739,Sullivan,Whylie,2.3,3.0,4.5,M
740,Joyann,McAw,1.6,3.8,1.1,F
741,Derril,Semens,3.8,2.4,5.0,M
742,Emma,Anan,3.7,4.9,3.6,F
743,Lanie,Noton,2.0,4.5,3.0,M
744,Rafaellle,Waith,2.9,4.0,4.3,M
745,Mae,Tremathick,2.5,1.6,4.6,F
746,Laurice,Ashwood,4.2,3.7,2.9,F
747,Sheffy,Le Monnier,2.1,1.1,1.2,M
748,Nessa,Blackburne,1.6,2.5,1.2,F
749,Willem,Oxbie,1.6,3.4,2.2,M
750,Shae,Tithecott,2.9,3.7,2.6,M
751,Nicolais,Theseira,4.5,1.1,1.4,M
752,Aloysius,Burger,3.7,2.6,4.9,M
753,Opal,Fullalove,3.8,4.0,3.0,F
754,Harris,Blaine,4.9,1.2,2.3,M
755,Scarface,Greenstreet,4.7,4.1,4.6,M
756,Kati,Spurge,1.7,2.2,2.7,F
757,Jasmin,McCandless,3.5,2.6,4.1,F
758,Cameron,Simester,4.2,1.1,4.8,M
759,Alexei,Skippings,4.7,2.8,3.6,M
760,Loise,MacKerley,3.6,2.5,4.5,F
761,Dusty,Pringour,1.2,2.4,1.0,F
762,Tomas,Bolle,2.9,3.2,1.9,M
763,Cati,Filyushkin,2.0,1.3,2.7,F
764,Colby,Balme,2.3,2.1,1.1,M
765,Jessie,Puckett,2.4,3.0,3.1,M
766,Daisy,Fenwick,2.7,5.0,2.6,F
767,Felicdad,Coulthard,2.6,4.0,3.9,F
768,Josey,Gallon,3.9,2.1,2.3,F
769,Ellette,Fissenden,4.3,2.5,3.5,F
770,Elinor,Badby,2.5,4.9,3.9,F
771,Margareta,McKeag,2.2,2.3,4.1,F
772,Marnia,Geraud,5.0,4.6,4.8,F
773,Mandi,Izac,2.0,3.6,1.9,F
774,Garrick,Droghan,3.8,3.8,4.9,M
775,Gordon,Pideon,2.3,1.6,2.8,M
776,Pen,Grindley,1.7,4.7,1.3,M
777,Cassaundra,Perrington,3.4,4.3,1.3,F
778,Carlee,Erwin,1.9,3.8,1.8,F
779,Ellis,Gratland,1.6,4.8,1.3,M
780,Lydon,Getcliff,1.1,2.9,4.4,M
781,Vivi,Sambidge,3.1,1.5,3.8,F
782,Gerome,Baynes,4.4,2.9,2.8,M
783,Antoinette,Keme,4.5,3.1,2.5,F
784,Maurizia,Singers,4.2,4.2,2.3,F
785,Rolland,Paur,3.2,2.8,1.9,M
786,Esther,Petren,3.9,1.9,3.7,F
787,Lenee,Sterland,3.1,2.8,2.7,F
788,Cristin,Lardier,1.3,4.3,2.8,F
789,Tedman,Tremontana,2.4,4.7,1.5,M
790,Currey,McConachie,3.5,3.5,3.7,M
791,Granny,Richardt,2.3,3.0,1.2,M
792,Marylou,O'Callaghan,5.0,4.5,4.1,F
793,Del,Giles,1.7,2.4,2.7,F
794,Cristin,Slane,2.0,1.8,2.9,F
795,Munmro,Hellen,1.5,3.8,2.3,M
796,Albert,Cuttin,4.0,4.2,3.0,M
797,Carroll,McGeechan,3.3,3.8,1.6,F
798,Dominique,Danzelman,1.7,4.9,1.2,M
799,Maxy,Monketon,3.7,1.2,4.7,M
800,Frannie,Rimmer,4.9,4.5,4.1,M
801,Maddie,Crang,4.0,3.2,1.3,M
802,Linet,Sotworth,2.7,2.7,1.5,F
803,Gertruda,Phippin,1.8,4.1,4.4,F
804,Correna,Esom,1.8,4.9,3.6,F
805,Melantha,Robun,3.1,4.0,2.0,F
806,Saidee,Prahl,1.4,2.7,2.7,F
807,Tyler,Challicum,4.1,4.1,4.2,M
808,Martainn,Penna,3.0,2.0,2.2,M
809,Marco,MacNockater,1.4,3.6,3.8,M
810,Bobby,Hanny,4.0,2.5,3.5,M
811,Ciro,Matijasevic,3.5,2.7,4.8,M
812,Nobie,Momford,1.8,1.5,1.5,M
813,Hesther,Sibbering,3.6,2.3,4.7,F
814,Ash,Hardwick,1.0,3.4,2.5,M
815,Edin,Steele,4.9,3.7,1.3,F
816,Malvina,Vaudre,1.2,1.8,4.9,F
817,Asher,Edger,1.6,4.5,2.9,M
818,Caleb,Betser,3.8,3.1,3.1,M
819,Norton,Adnett,4.0,2.0,2.0,M
820,Kenny,Cuming,2.0,2.5,1.8,M
821,Chan,Stutt,4.5,4.9,4.7,M
822,Loralie,Van Velde,1.5,2.4,2.1,F
823,Clint,Lympany,3.6,4.2,1.1,M
824,Teresina,Appleby,3.0,4.4,1.2,F
825,Yolanda,Huskisson,1.9,1.9,4.4,F
826,Arney,Evesque,2.6,3.1,1.1,M
827,Leone,Mont,1.9,1.8,3.3,F
828,Emilia,Dabner,1.5,3.9,4.9,F
829,Dana,Clitsome,1.6,2.5,3.2,F
830,Alli,Jaffra,2.7,3.2,1.9,F
831,Carolyne,Asken,3.5,3.4,2.0,F
832,Hogan,Haster,2.5,1.3,3.4,M
833,Eldredge,Addicott,4.5,3.1,1.4,M
834,Carley,Redman,1.7,2.0,3.7,F
835,Gayelord,Denning,1.2,4.1,2.6,M
836,Sallie,Burbank,1.5,1.4,2.1,F
837,Frasquito,Howling,4.5,4.8,4.1,M
838,Sherilyn,Nibloe,2.0,1.3,4.8,F
839,Franz,Nutter,3.1,3.8,4.9,M
840,Cacilia,Raffon,3.8,3.8,4.6,F
841,Constancia,Thurling,1.3,3.1,3.3,F
842,Rafe,Knellen,2.8,3.8,3.7,M
843,Arlin,Josiah,4.4,2.3,2.1,M
844,Arthur,Larrett,2.5,1.9,4.7,M
845,Mortimer,Glen,4.6,2.0,4.4,M
846,Mimi,Fishby,3.2,2.3,4.6,F
847,Antonina,Pellingar,2.9,2.5,2.6,F
848,Jean,Boni,2.6,1.0,1.8,F
849,Bat,Studdert,2.8,3.8,4.4,M
850,Harriot,Bredes,2.9,3.0,3.4,F
851,Fredric,Seemmonds,1.2,3.6,3.5,M
852,Allsun,Stern,1.6,3.4,5.0,F
853,Case,Rembrant,2.4,1.5,1.6,M
854,Sansone,Caunt,1.7,4.6,4.7,M
855,Stanfield,Graeber,3.2,1.8,2.3,M
856,Crosby,Cromar,4.3,3.8,4.3,M
857,Basilius,McMichan,3.2,4.4,2.3,M
858,Domeniga,Mallatratt,1.4,1.1,1.9,F
859,Betsey,Hamley,2.1,2.5,4.8,F
860,Kathe,Tesmond,3.9,3.4,2.8,F
861,Tabatha,Posse,4.3,1.7,3.0,F
862,Shaughn,Bercevelo,2.8,1.3,2.6,M
863,Darya,Fairholme,2.9,1.6,3.7,F
864,Kalvin,Wallsam,4.8,2.3,2.6,M
865,Rosella,Kuhnwald,2.3,3.8,3.3,F
866,Annabal,Daughtrey,2.4,1.1,2.6,F
867,Modesty,Kermott,3.8,3.6,3.0,F
868,Gayelord,Bennedick,4.4,3.6,3.2,M
869,Jarrad,Sieur,3.2,4.8,2.7,M
870,Hendrick,Billyeald,4.6,4.4,3.0,M
871,Callean,Sawnwy,1.2,1.5,2.2,M
872,Zacharie,Coles,1.9,4.4,2.7,M
873,Briana,Butting,2.3,2.7,1.4,F
874,Kati,Seif,1.9,2.4,2.0,F
875,Glenden,Brinsden,2.6,2.2,1.8,M
876,Franky,Prine,1.6,4.7,3.5,M
877,Kerry,Boerder,4.0,2.5,4.1,F
878,Shaylynn,Whyke,4.9,1.8,2.7,F
879,Bidget,Tapsell,3.3,2.2,2.8,F
880,Celie,Wellbank,2.2,4.2,1.3,F
881,Darius,Spindler,2.6,4.3,4.8,M
882,Pamelina,Klosterman,1.4,3.1,2.4,F
883,Corry,Mallard,2.7,3.3,2.0,F
884,Selig,Vader,2.4,4.0,1.2,M
885,Rosalind,Pirdue,4.0,3.5,4.0,F
886,Lisha,Buglass,1.3,4.7,2.4,F
887,Lion,Dreakin,3.0,1.1,2.5,M
888,Rorke,Castella,2.5,3.4,3.4,M
889,Bobby,Normanvill,2.1,3.5,4.1,F
890,Lammond,Bonifacio,1.7,3.7,1.2,M
891,Rafael,Colls,2.5,3.8,2.7,M
892,Duffy,McCrossan,1.6,2.6,4.0,M
893,Vallie,Loutheane,5.0,1.2,1.1,F
894,Cissiee,McLane,3.4,2.8,1.9,F
895,Averil,O'Scanlon,3.8,1.5,3.0,M
896,Terencio,Dirand,4.4,3.5,1.9,M
897,Tamqrah,Plumley,3.2,2.2,1.8,F
898,Worden,Collumbine,4.1,4.3,1.9,M
899,Tedda,Reddel,4.4,1.2,2.6,F
900,Starlin,Esome,2.2,3.3,4.7,F
901,Boris,Elfe,4.7,1.3,1.7,M
902,Beverley,Chavez,3.9,3.2,2.5,F
903,Jasen,Borrows,2.3,1.6,2.4,M
904,Freda,Brockington,5.0,2.6,3.7,F
905,Ruben,Jeanon,3.3,3.5,4.6,M
906,Thelma,Paggitt,1.1,3.6,4.5,F
907,Marika,Caldwell,4.5,3.9,2.4,F
908,Tabatha,Cordie,2.9,2.3,1.1,F
909,Alexis,Gariff,2.1,1.3,3.3,M
910,Saul,Cassella,1.5,1.4,1.3,M
911,Claudie,Kitchin,2.3,1.4,1.9,F
912,Woodrow,Larne,2.7,3.3,3.9,M
913,Dennet,Addicott,2.5,4.9,1.9,M
914,Myrvyn,Giffen,4.9,1.4,2.4,M
915,Gretel,Playdon,1.8,4.0,4.1,F
916,Ruby,Barclay,4.4,2.6,2.0,M
917,Jerrilee,Pinsent,3.1,3.4,3.9,F
918,Corabel,Moodie,2.7,4.8,3.0,F
919,Cherlyn,Glasheen,1.6,4.2,1.0,F
920,Hugo,Nipper,1.6,1.6,3.3,M
921,Wanids,Hinckesman,3.1,2.0,4.7,F
922,Ferdinand,Gandrich,1.5,3.2,2.9,M
923,Ralf,Dearden,1.1,3.1,2.4,M
924,Nollie,Djurisic,1.6,3.4,4.6,F
925,Arthur,Seivwright,1.3,2.3,1.5,M
926,Enriqueta,Laingmaid,2.4,1.6,4.1,F
927,Anna,Solleme,4.9,3.1,4.2,F
928,Fania,Stellman,3.3,3.4,3.3,F
929,Hulda,Dericot,4.6,3.3,1.9,F
930,Kimmy,Podbury,2.3,2.3,3.0,F
931,Jacklin,Marquet,2.4,1.2,1.4,F
932,Pooh,Bowlesworth,4.0,2.1,3.7,M
933,Bengt,O'Grada,4.4,4.4,3.1,M
934,Thomasine,Troth,1.8,3.2,3.5,F
935,Angus,Bargery,4.4,2.5,3.8,M
936,Muffin,Hazeldine,2.4,1.5,1.6,M
937,Edouard,McColley,1.4,2.7,4.4,M
938,Phil,Gertray,1.2,2.3,1.9,F
939,Marcille,Semarke,4.9,4.7,3.8,F
940,Tully,McLarty,2.5,4.8,4.2,M
941,Derward,Tathacott,3.6,1.0,3.4,M
942,Sigfried,Brimm,1.5,1.4,4.2,M
943,Calley,Stubbe,1.8,2.9,4.2,F
944,Stephie,Blacktin,4.1,3.5,2.0,F
945,Kandy,Ruprechter,2.9,1.1,4.6,F
946,Jocelyne,Ricarde,1.8,2.2,4.1,F
947,Brynne,Hardeman,2.6,3.8,4.7,F
948,Sydney,Exposito,4.9,2.2,1.9,F
949,Vittorio,Boughton,3.6,4.2,1.0,M
950,Bond,Doidge,4.4,3.3,3.5,M
951,Gaile,Curzey,2.9,4.3,3.3,M
952,Woody,Smail,4.0,2.6,1.9,M
953,Eleonora,Humerstone,3.0,3.3,3.3,F
954,Maxi,Stonman,1.6,1.6,3.1,F
955,Analiese,Gauthorpp,3.1,1.4,4.4,F
956,Lelah,Youster,3.2,1.6,3.7,F
957,Shamus,Alpin,1.9,2.4,1.5,M
958,Willie,Lashmore,2.7,2.7,3.9,F
959,Aurilia,Vina,4.6,2.6,3.8,F
960,Weidar,Steuart,4.7,2.0,4.0,M
961,Tod,Saker,3.3,3.8,4.5,M
962,Lucien,Sharpus,1.3,3.0,4.6,M
963,Cahra,Waddams,4.1,3.1,4.9,F
964,Salomo,Merveille,2.7,4.9,2.1,M
965,Marilyn,Jakubovicz,2.2,3.1,4.7,F
966,Karla,Westbrook,1.2,4.8,3.0,F
967,Hildagarde,Kelsow,3.5,3.7,3.6,F
968,Abby,McIlriach,1.6,4.5,2.3,M
969,Ellsworth,Beecker,5.0,3.8,2.2,M
970,Cloe,Foker,3.0,3.6,2.3,F
971,Robb,Causey,4.3,2.7,4.3,M
972,Sonny,Ranaghan,3.5,2.7,4.4,M
973,Cross,Iannello,3.8,4.4,2.5,M
974,Hansiain,Itzkovwich,1.5,3.2,2.6,M
975,Harper,Wickstead,4.2,1.8,2.1,M
976,Malvin,Gatus,4.7,2.9,1.3,M
977,Mitchell,Plinck,2.7,1.2,4.9,M
978,Dag,Hexam,1.9,2.8,1.8,M
979,Trever,Geater,2.7,3.0,4.9,M
980,Ileane,Readings,4.0,3.3,1.7,F
981,Bartlet,Conibere,3.2,3.7,2.9,M
982,Maddie,Kitley,3.9,4.8,3.1,F
983,Leopold,Hilling,2.6,2.4,4.7,M
984,Lezley,Waggatt,2.1,3.7,2.2,M
985,Berte,Khoter,2.1,1.0,2.6,F
986,Lura,Simnett,4.5,2.6,1.7,F
987,Fawnia,Firth,4.2,4.8,3.7,F
988,Dani,Bocke,3.8,4.0,4.7,F
989,Husein,Beharrell,4.2,1.7,2.4,M
990,Elka,Poone,3.9,2.0,3.8,F
991,Cosme,Claire,2.1,3.4,4.7,M
992,Ambros,Cazalet,2.5,3.7,3.9,M
993,Wolfie,MacGuffie,3.1,1.5,3.6,M
994,Emili,Falla,3.9,4.8,1.8,F
995,Grady,Sparke,2.0,4.5,3.8,M
996,Beatrisa,De Atta,2.6,2.8,2.0,F
997,Allianora,Quinney,1.1,1.3,1.7,F
998,Boothe,MacKnocker,2.9,4.9,3.7,M
999,Clayborne,Lassey,4.9,2.4,4.7,M
1000,Phillie,Mancell,3.1,4.8,2.5,F
